FPS,GrayScale_Func [ms],EqualizeHist_Func [ms],Clahe_Func [ms],Face_Func [ms],Nose_Func [ms],Mouth_Func [ms],RightEye_Func [ms],REyeOpen_Func [ms],LeftEye_Func [ms],LEyeopen_Func [ms],Tracking_Func [ms],FaceFound?,NoseFound?,MouthFound?,RightEyeFound?,REyeOpenFound?,LeftEyeFound?,LEyeopenFound?
16.2727,10.2664,0.810561,0,9.76098,9.47455,7.64272,5.15837,3.19834,4.29651,3.66143,6.91072,1,1,1,1,0,1,0
16.3636,1.02478,0.805696,0,9.76098,9.52726,1.90314,5.90782,3.63224,4.18715,3.72411,12.8126,1,1,1,1,0,1,0
16.4545,3.16286,0.906993,0,9.76098,9.06664,1.78639,6.28113,3.94427,4.58897,3.67057,7.92696,1,1,1,1,0,1,0
16.5455,1.30325,0.898887,0,9.76098,8.37319,2.02347,6.43658,3.8062,4.32282,3.52445,11.3819,1,1,1,1,0,1,0
16.6364,1.25117,0.904267,0,9.76098,8.38359,1.86889,8.26862,3.05882,4.0096,3.49442,8.2965,1,1,1,1,0,1,0
16.7273,6.39071,0.9075,0,9.76098,6.85476,1.6743,4.86015,3.1612,4.30291,3.58987,7.32239,1,1,1,1,0,1,0
16.8182,1.29797,0.954717,0,9.76098,8.12668,1.96102,8.08638,3.61334,4.06408,3.62353,8.43986,1,1,1,1,0,1,0
16.9091,6.07601,0.953292,0,9.76098,7.30069,2.07547,3.80098,2.93621,3.98488,3.508,7.63292,1,1,1,1,0,1,0
17,1.33659,1.08693,0,9.76098,7.66237,1.9608,4.09443,3.41646,4.01889,3.55435,12.3787,1,1,1,1,0,1,0
17.0909,6.03314,0.943766,0,9.76098,7.2366,2.13671,3.81876,3.10349,3.96065,3.54694,7.44994,1,1,1,1,0,1,0
